id	comment
286	The app drains your battery cause it uses your gps all the time
208	"Takes the translation rather literally. Most languages other than English don't say ""what's your name"". If they could add a common phrase translator function then it would be just that much more accurate"
155	I have already submitted a review when I first downloaded stating That this App is the best. Well, yesterday it proved itself. I have a health condition and yesterday I had to go to the hospital. I just emailed myself my list, printed it and was able to give it to doctor. Even the Nurses and Doctors were impressed.   There is one thing, however, that I think would make this App even better. Add a COMMENT Area so you can write comments regarding yourself or the medications or whatever.
59	Worked great at first... Worked great with the scheduling feature for a while... Now it says for me to check my connection and that an unexpected error occurred. I tried it on both wifi and 4g. I also tried restarting the phone and uninstalling and reinstalling the program. No help. I have a ZTE Avid.
232	Its amazing The only thing to make it better is to have the ability or export videos to your camara roll
66	Annoyed I would like to log in one time and it stays logged on. Also my camera would not work on here but it works fine with my other apps.... need to fix asap.
282	Very slow uploading, and poor background uploading ( does it really need 3h to upload several megabyte video over 10 Mbit internet ?
141	Overall fantastic.  The UI is a little clunky, and things like tapping in the golf ball icon to measure club distance were a little tough to find. It doesn't look like a button.  Wish I could view the clubs and look at their performance without starting a round.  Statistics could use some work as well. The charts while fairly easy to read seem disjointed.   Needs a better social aspect.
121	Good when it works, but annoying when it plays up Getting fed up of having to uninstall because it doesn't allow you to work on a new picture....
106	Widget problem There are problem in widget after some days widget gone and not show in Widgets bar
269	Hope it had whatsApp to sms though!
1	Can't read exel file correctly After updated yesterday. I can't read the exel file correct as original. Please help.
175	"It needs a few things like some more cheats and another game mode:Zombies or instead just call it ""walking dead syndrome"" superb app, though"
277	Please fix the syncing issues with the iPad app Currently have to re-login to get files to update Allow users to force a sync! Trying to automate it would be good if it worked, but it doesn't
105	"Video call camera Please fix camera for video call on Galaxy Tab 2 7"", receiver see me upside down.."
144	I use this app for completing my required expense report. Stores pics so you can return to them, pics are super clear. I'd only wish for a two per page option as the scans come back a full page. Overall, only $2. Hell of an app.
117	Please fix this I still cant download it..
55	Poor ! Why it doesn't work? I've captured my face then it shown processing but nothing happens and keep returning me to the camera. Please fix it . I'm using galaxy tab 7.0 plus
160	Do you when you go to the sampler and you try to record a song. And then you make a mistake in the song and doesn't sound as good. Can you try to make that update?
202	Great app. Just need a more accessible speaker button.
62	New Update Is Rubbish Its now really laggy and slow when going into the filters,  for manual focus, for turning the flash on and off, I much preferred the old interface - samsung galaxy s3 mini
52	So slow loading at first Buggy new update
5	less then 1 star Downloaded and not been able to play yet as keeps crashing and closing
188	They should add the function to buy Starbucks gift cards via iTunes store. I wonder if they'll add that when iOS6 comes in with passbook?
100	zzzz keeps closing/crashing losing all my work zzzz FIX IT!
20	Not working. I have a wifi printer and when I try to print from my droid RAZR Max HD it says need to download update.. then when I try to download update, it says Update cannont be completed. Error. Fix and I'll change my rating. Or advise me what to do.
212	Great app, only one suggestion, it would be great if it allowed for daily flow values.
215	Great app! Works great with my playlists! Wish it worked with Pandora! Definitely not worth paying for the pay version of C25k because this up to date.
225	Would be nice to have a grid view of photos other than just the auto upload of camera roll Also would be nice to rename files  My last review still not fixed This app doesn't support mobi file uploads Would be nice to save my mobi files
8	Buggy app broke by update Another paid app fail.  Edit: back to 1 star again! Now crashes everytime a battles won.
103	hanging the phone it is hanging the phone so that I must 2 restart>
67	Glitchy Would never load my new emails. Switched back to native email client on my Note II.
229	We should be able to do text documents! (
289	When I put things into my dropbox folder on my desktop, I can find files by date modified, by name, etc  The app has an incomprehensible and un-modifyable sorting function  It's almost impossible to find files within the app  Once you find them on your phone, I believe you can 'favorite' them  But the challenge is to find them
281	I hoped the update would bring back the 'open in' option but it didn't Importing files into other apps is a major pain now Why was this option removed? Please bring it back
44	Didn't work Ive been trying to download this game for a week and it will not load at all disappointed because it looks like a great game
107	It's ok I'd give it a higher rating,  but I have a small problem. My problem is that I've tried to more than once import my bookmarks from Android and it keeps crashing. Please fix. Thanks.
236	Please include the option to view thumbnail larger while viewing in the photo folder
276	Wonderful but Could be better if all tools built-in and not depending upon the network connection
267	awesome bt plz increase the size videos that we send
214	It just needs to play the next song after one ends and it will definetely get the 5 stars
261	Great app - beautiful layout But I wish saved items could be viewed offline!
216	I love iTunes U! Would be awesome to archive courses so they don't show on the bookshelf but can be accessed later.
285	This would easily be a 5 star app Best idea ever  But it loses 2 stars just because I have to download one photo at a time This is a huge inconvenience
24	Pay version still spamming I bought the paid version and I can still see promotions in the dashboard.  Remove it!  Edit: Developers asked me to disable promotions.  I did so, there seems to be an option to autocheck new promotions .  However,  this only disables the updating. The annoying ad-bar is still visible on the dashboard displaying a generic promotion of their products.
135	Bugged The last update caused the game to stop working. It won't even start now. Please fix.  New update still didn't fix anything. :/
25	Doesn't work A poor app unfortunately. It started loading pictures then took me back to homescreen with no video or upload.
235	Beautiful app, but NEEDS the ability share folders For people on the go, we need to be able to email links out to people, sending tons of individual links to people is not feasible
127	Bug The gold mystery sprout does not work. Should be a 100% chance to give me a plant that I don't have. Just getting kinds that I have already.
82	Could be better App freezes time to time and laggy.
46	Shocking Played this on a iPad and it was quality. Download it on my Xperia z tablet and the game is upside down. It is impossible to play and gone past the refund stage, no worth risking losing 2.99 in my opinion
168	Great app! Couple suggestions for the next update though. Add a way to see the degree of angles and also it would be great to actually be able to have two videos side by side to compare.
38	Server error In Belgium I bought on PlayStore and says need extra 160 MB to download, but always get server error 5002.  Thanks for taking my money!
206	Great App!! Useful and easy to use!
153	This is the best video editor ever!!! I also like extras for iMovie but the only thing was that I wished I could cut out things people said that I didn't want. Other than that I love it!!!
238	I've been using Dropbox for quite sometime now, I have earned a fair amount of space, and I love being able to access all my files from my iPhone, iPad, MacBook, and the Internet via anyone else's computer  But these last 2 updates have disabled the save to camera roll feature, which I use all the time and have come across several times since the new update Please please please add this feature back! I know I can just do a screen shot but i prefer the clean cut copy you receive, without boarders from saving images to the camera roll!
193	Love the app. It's accurate and useful. I hope you guys planed for push notification soon.
151	I actually believe this app is totally awesome in helping me prepare for my boards. However, just as the muscle name is given in audio; I wish there was an option hearing all the muscles info in audio. For me, retaining info comes better in audio, activities, and constant quizzing.
96	Note 3 online not working Couple of weeks ago im able to play in online and now it says cant connect check ur network, but i have highspeed internet
203	Couldn't be better really, with options to copy results and also send via text/email..  would like to see an option for viewing results full-screen, sometimes the end gets cut off.. but it still copies/pastes all of it so it's cool ;)
33	Camera DOOM FX Pictures will not save to external SD card.  In fact they are saving to a temporary folder and are not even showing up in the gallery. Emailed Dev replied dealing with it, have heard nothing since.
186	Very nice. Better if map would center on my location automatically when I trim app on.
244	Please add support for animated GIFs!
252	Does almost everything except allowing me to make a quick diagram by hand  But it does allow me to take a pic, and record voice, so that helps
239	I love this app but I do wish I could highlight words in PDFs and create bookmarks Would this be possible at some piont?
222	One feature they should add is being able to import multiple photos to camera roll, then it be better
58	Very fun game yet buggy Absolutely no sound in game and several game crashing bugs through story mode
133	Galaxy S4 GPE I have a galaxy s4 google play edition and can't save to the external sd card.  Otherwise great app.  You can choose the external sd as your save location but it won't save to it.
257	Very user friendly Easy to use and easy to be directed Wished for a better gps function
263	They need to show B&ampB , small inns
228	Thank's for app,but can you add offline mod?for exmple i want save one video in my iphone,and after that play it with VLC
173	it needs to be more like the pokedex from the show
213	It needs improvement
137	Better than snooth or drync by far.  Update:  Would like to be able to move wines into different locations without drinking and then re-adding them on the application.
115	Cannot get my code! I can't get my code even I send my phone number already. Please fix it!
181	Great app!!! Helps me organize  The only suggestion I would have to to add a tab under HOMEWORK to organize by what date my assignments r due..   Otherwise it's an AMAZING APP!
200	Needs the ability to see two devices at the same time on the same map, without having to switch back and forth. Also, would like to have the ability to preload certain maps. Takes too long sometimes to load maps over cell signal. Preloaded maps would eliminate that problem.
146	Well, I am not experiencing the issues with slowness that others have complained about. For me, it loads at an acceptable speed.  It definitely beats the hell out of foodnetwork.com's haphazard, cumbersome list.   I do agree that it could benefit from the addition of reviews. It would also be awesome to be able to see a segment of the show featuring each eatery, though I suspect that would require Food Network to be much more involved.
131	Good but Was running perfectly before the update,task killer no working Displays no tasks
293	It is impossible to refine a hotel search for specific criteria beyond location, price and quality Those are well done and quality reviews and coverage are the reasons we use TA Especially during peak seasonal flows, many of us travel with pets We have a terrible time finding clean, reliable hotels Most sites for pet travel are woefully inadequate How hard would it be to include this as an additional search filter? That would bring in helpful reviews that would not only enhance the site experience but also improve the field
158	Probably a great app for 4 and up. I've used it with several 2 year olds and it's amazing how quickly they catch onto the spelling part. However they are confused by the plane when they can't move it. The tilting the iPad this is not natural for them and the fact that if you're not directly on the plane when you try to trace the letters really throws them off.. If only there was a way to play this on easy mode it would be perfect for younger kids to learn their ABCs. Then activate the tilt functions when they are older or master the easy parts.
270	One thing needed You should be able to have sub-boards  For example You would have the board Food Then on the board food you could have a sub board for dessert Or healthy Our brunch
221	Does everything you would hope it would do well     I wish I could email documents from Dropbox as attachments not as links
112	Wth Worked fine u see the video with the music once u put it on instagram it cuts it at the end or it just turned all black
29	bugs bugs bugs lots of bug i cannot login anymore...my device lag when trying to open the app...fix this sucks!!!
237	Would love to be able to print right from the app instead of having to go through the browser or open it in another app Otherwise very convenient
80	Force closes all the time This app isn't worth the money. It crashes more than any of my other camera apps & makes me restart my phone before I can reopen the app.
87	Can't play I have brought this because it is amazing but now i can't play this because it dose not work on android and i am on Samsung pad 2 and won't work update soon as possible please i can't wait to play and hurry up
124	Gd app I think its a great app used it all the time to shut down other running apps..altho i need to delete it bcuz i dont have room on my fone,but cant! It will not uninstall at all says it needs to b deactivated, which i did n still not uninstalling at all! NEED HELP!
226	Is Dropbox design for iOS 7, but is still the same more or less Air Drop is the only new thing in this update (for iPhone) I think   4 out of 5 because still can't rename files
125	It's a great app which I use daily... However, it crashes and force closes a hell of a lot on my Note 3. Fix this and it's 5 stars, as I much prefer the app to navigating the Web page on my phone
109	Good Since I downloaded this I'm having huge storage issues on my phone.
284	How to add voice memo from the iPhone?!
259	I tend to provide reviews on the fly and my only wish is that I could edit them through the app     I also wished that there was a way to respond to replies  One hotel accurately described itself on TripAdvisor but was misleading on its website but I can't point this out
265	Great application One of the great application for chat Please just increase the upload limit That will be very useful
164	This is cool app I've used before.. but no search function.. ^^;;   I need it much..
136	Needs better interface to load and save favorites
174	Ok people...this app works and if you are too stupid to figure out how to make something so simple work, you shouldn't own a smart phone, especially the iPhone. The only thing keeping this from 5 stars is the addition of all the contacts. Looking forward to future updates. ????????
6	Nexus 4 The game do not have any audio, please fix it!!!
94	Fix availability in andriod I can't open the game now. Please have the update version on android phones. I'll wait or if not, uninstall it.
63	N4 kitkat Still getting dark images on pictures taken with flash despite update.
176	I love this app. Its so easy to learn how to use it and its very easy to understand. The only thing I don't like is that if you choose the option to show what the temp feels like, you can't see what the temp actually is. I would love to be able to see both at the same time.
88	worst it ws awesome app before d last update doesent show my pictures
219	The new design fits in well with iOS7, but it would be better if there was an option to rename files and folders It's also impossible to send files as email attachments instead of sharing their links through the default Mail app
71	Great game but..... I really like this game but it wont display properly on my Samsung Galaxy Ace. I get a white background. Please fix or I want my money back.
65	Samsung s3 Amazing graphics but it keeps crashing..either during the race or at the end of it!! Please fix the definitely 5 stars!!!!!
81	Fx is waste I clicked photos in fx mode but unable to open that in mobile or pc.
288	This update would be a step up if you could actually see PDF's with it
223	The app would be great with two 'features'  One the ability to read long filenames  The app truncated all my files so I can't tell which is which in our companies file naming procedures  Really is a complete PITA  Next there needs to be a clear cache option  I download a 700 mb file and open it in a app I really don't need to have it in two places on my iPad  Add these missing features for more stars
266	Increase participants in a group increase participants in a group  Update it
196	First of all, both Dragon Dictation and Dragon Search are amazing and I'm using the slow 3G. They're beyond amazing on my wife's iPhone 4! As a heavy user of Dragon Dictation, it would be very useful to be able to clear the screen and start new, perhaps by shaking the iPhone. Sometimes it's easier to start over rather than edit out one word.
205	"I'm giving the NFL '12 v3 update three stars largely because it's an improvement over the previous version. The in-game display is better organized, and the ""Scores"" page is vastly superior to the prior version: you can now see all games for the current week on one screen instead of scrolling through a list. After a modest amount of use, the app appears much more stable.  However, it still needs work in many respects. The scoring summary is gone (so far as I can tell); I often found this helpful when checking up on games that I wasn't following play-by-play. The ""team leaders"" appears limited to only 1 QB (passing), 1 player rushing, and 2 receivers, with no apparent way to scroll through players or pull up a full listing. Especially during the preseason games, when teams are running through multiple personnel packages, this is very frustrating--there's no way (for example) to compare the passing stats of the 2 or 3 QBs who have gotten playing time. A more egregious problem is that (at least for the Thursday games in week 2), the teams do not switch properly: checking on the Atlanta vs. Cincinnati game, if I tap on the ""Atlanta Falcons"" button, I get the passing stats for A. Dalton; if i tap on the ""Cincinnati"" button I see the passing stats for M. Ryan (with the rushing and receiving stats for their teams). I'm hoping this is an operator error that will be fixed shortly, but it reflects poorly on the product. (I apologize for the comments length, I'm hoping that the NFL is monitoring this feedback.)"
227	I just wish you could edit your word documents other than that it's great!
149	The one good thing about the last update ws the ability to make folders. But, you are not able to make folders inside folders. I wish you could. The bad things about the last update? Now typing has lag which is very annoying. I don't see how that happened since there is no crazy graphical interface or anything animated. The major thing that is pretty much a deal breaker for most people is the removal of the TAB button. I always hated that the TAB button was up on the ruler. I would prefer having only one shift key and place the TAB on the keyboard. But now i wish it was back up top at least. Now you have to go through a complicated process and menu to use it. I've stopped using Pages now since it is such a pain to tab unless you are using a bluetooth keyboard.
224	The inverted colors of the icon induce retinal after images, and in-app, the whiteout is hard on the eyes The experience on an iPad Air is one of huge expanses of white or badly contrasting off-whitelight blue and stencil-thin pale icons battling the brightness of it all The spartan look works fine on an iPhone, where there is proportionately less white assaulting the eye with the iPad, however, I keep trying to reduce the brightness of the display, but that only further impacts contrast and legibility   Also why is it not possible to change names of files or folders??
86	Help Won't let me download its saying I have no memory on my phone but I do I have loads :/
138	It would pull the contacts I have on facebook, but not on my phone, and put them on my phone.
75	Wont create team The game is good but when I try to create the team all I get is a go back button.
43	update kept crashing What was a barely usable programme to begin with, kept crashing after I updated. So I have now Uninstalled it.
123	Not very impressive I am a graduate student and I use my tablet a lot for taking notes during presentation and to read papers. I am disappointed as I can't use the software to present ppt. Also, the draw free form option is not very user friendly as it doesn't allow to draw in different colors nor to erase.
195	Would totally give 5 stars if u didn't have to use the app by itself & send from there! Would be nice to be able to choose app from inside text message or email! Can u work on that?
48	Hhfg Too slow to download
41	Doesnt work Teamspeaks preloaded channel works, but app crashes upon connecting to any other server. Too bad, could've been useful.
104	Please fix It's a good game but it don't save when your online if you don't fix it I want my money back
220	It's very convenient to use, however not being able to switch between accounts without un-linking the phone would be great Also an improvement in the media player would also help
34	Unusable Unusable. Whem trying to find the right forum it takes forever to scroll down!
271	Love it Great app  Which there was a way to multi check pins When editing  (deleting or moving to another board) rather than having to do it one at a time
245	I love the app for allowing me to keep my notes organized and synchrd across devices I also love the feature of sharing stuff with mates The only thing I long for is collaboration on notes
17	Update The app refused to update but others would. Had to uninstall.
253	This has become my main notes program  Wish I could do handwriting on it  Love how can I can put outlook emails in it   Using more than my other note apps in the iPad
26	Not happy I downloaded this app because I have the first one and I loved it but this one will not even load on my phone all I get is a black screen and music plz fix
45	Badd The New Updated One Sucks . It Dosent Even Save THE picturess.
154	I like the new features that make the product more Stanza-like. I still would like to be able to go directly from the library list to the current place in any given book without having to pass by the TOC page.
140	"Why did they remove entire sections when they ""updated""? That's a DOWNGRADE."
273	Great! Only complaint is being able to change the picture that represents your boards And just a user friendlier way to change settings and customizeadd pictures to your boards
191	I sat down and worked out the equiv. IQ for each category based on the data given and Average professional college IQ used for this program 119.985 ~120.  It would be really nice to get an integrated IQ-Equiv feature that showed us this information like the excel calculator I made for myself.  Keep up the great work!
209	Now that I have this app I can't imagine how I got anywhere without it. In my experience it's approx 98% accurate and the spoken directions are a necessity when you're driving alone. One improvement would be to have the spoken directions a little earlier especially on a busy highway. I'd recommend this app to anyone looking for reliable accurate directions.
250	I love pasting notes to ever note I paste my passwords I paste copies of receipts and anything that I need to locate later and I can easily find it in one location the search option is very handy as well I WISH THE INSTRUCTIONS WERE CLEARER
262	Still landscape only  So weird  Every other app has the ability to go either direction  Too bad
78	So so Why cant email be marked as unread? Why when I reply to an email it turns up in my inbox?
187	The recent update makes this app look really beautiful (upgrade from the previous version!) but in the process we have lost functionality and it is not intuitive. I am a woman and the arrows are kinda small to navigate between areas; I could only imagine how most men--the likely demographic--feel about this app. Additionally, It takes too long to move between the screens. I want to easily/quickly set my line up, maybe see my opponent's, get quick updates on the health or status of my players for the week, and see the weekly fantasy scores as they update.
60	Broken Multiplayer Multiplayer doesn't work at all, I just get failed to connect every time. Would give 5 stars if online ever gets fixed.
295	Useful, improved Happy with the progress on this app but there are many updates that seem to make no change Can't see the names of many boards - there needs to be a wrapped text function on board names so long board names can be seen Indexing is very slow too, many of my pins take weeks to come up in search
11	Why doesn't the music work Upsetting to have a clip made but NO music... Tried it for my business and this Is actually very disappointing.
152	This is probably the app I am the most thankful for on my iPhone -- perhaps second to Omnifocus. Thanks to this app and the care given it by its development team, my wife and I are finally budget -- not account. The account balance is servant to the budget and how we have planned to spend our income.   If you are moving from something like Quicken, then there is a bit of a learning curve. The YNAB website is there with excellent video tutorials to help you work through questions and situations. Awesome resource.   Looking forward to iCloud sync and the possibilities it presents. Again, great app.
139	Overall a great app.  I use it daily. It would be helpful if entrance and communion antiphons were included. I do not appreciate the new  in app purchase feature.  The saint of the day should either be included with the program or have a way to remove the buy button for those who do not want to purchase this.
3	Not working properly .wont download emails to inbox
116	Fix it please! This new update detected as malware :(
40	Galax s4 Can't search for friends online
272	I've been addicted forever, The only thing I would change is that over time, I want it more organized so I make another board I wish there was a 'move pin' button to place it to another board current technique is having to repin, then delete it from the old board
134	Very good. Need to update voice ...sometime back ground noise comes Thanks
231	Still no gallery in Camera Upload mode !
159	Please support French and Mandarin.  In the interactive map, when click a country, pronounce the name of the country.
56	Can't read text boxes well Decent, but can't seem to read documents with text boxes and images very well...
110	Great game, sound not working though Sound stopped working mid game and now it won't start! Rebooted phone and reinstalled with no luck ! Otherwise a great worms game!
72	NEEDS FIXING Everytime I get ready to use the picframe and go to pick a photo when I return to the frame it only shows the texture. I have to go through this same problem everytime I use it. Restarting my phone is the only way to get it right up until I want to use it again. Please fix!! ASAP
101	All my apps are intrusive?? What happened? I have had my apps since then. But all of a sudden, antivitus is telling that 101 threats was found? (All apps)?? Howcome?! All my apps are downloaded from playstore. There should be threat even before if all my apps are really intrusive!
19	Does not property work on the 2013  Nexus 7
47	Please It won't let me sign out plz fix plz I have a rca 7inch tablet
32	Unclassified Always I don't get connected even though I have enough net band width.... unable to to line call
233	Hey Dropbox team! Please add the ability to rename files, as well as the ability for gifs to play I know you can do it!!
290	Was good until the cent updates Now my notes vanish randomly and I keep getting a sync error This app needs added features too
132	Pretty good! I've edited many photos using this application already. Something to probably address is the photo not always saving what you're looking at in the preview. The beautify tool is a good example of this, as it may look fine in preview, but when you save it, you don't exactly get the same quality. Sometimes it turns out a little pixalated, but overall a remarkable app! I use this in conjunction with other apps.
36	Multiplayer cant join Cant join games, just keeps searching. I tried custom join and says error can't join
243	The fact that you can search within folders is extremely useful, and makes accessing files on the go far more convenient I also think the latest style refresh is a big positive in the right direction I use dropbox on all of my devices I would like to see sorting within the app improved (eg by date), but it's good otherwise
255	Thanks, Evernote, for a great app!  I use it DAILY to keep my (gluten-free, dairy-free) recipes organized!    A tip Please allow me to search ALL my notebooks - helpful to locate an ingredient - rather than searching within each notebook individually    Also, I would love to pay a flat fee to be able to access my notes offline  Thanks
2	Can't get a response from Developers The game itself isn't bad. If anything,  a bit monotonous.  However,  the manual is less than desirable,  specifically when speaking about how to feed cows. I figured out meadows on my own, but cant make straw bales for the life of me. And, this is apparently hkw to create manure flr fertilizer. I have emailed the developers, amd received no response. VERY FRUSTRATING! You spend money in the game for equipment that you can't use.
4	>:( The app closes everytime i take a picture >:(
7	It sucks When I press ? nothing happens plus I can't even share the videos I make
9	Pretty wired Sometimes on 1st opening it flashes green colour and i need to close it and open again. 5 stars if yuo fix this.
12	Won't install. Got a Nexus 4 with loads of free space but installer says it has 0 MB available.
13	Could be good Doesn't load.... Moto  electrify m.... Fix and I will give a better review
14	Keeps Crashing! Installed, on the loading page and it crashes! Tried re-installing, shutting down my phone still the same. Please fix this and I'll give a 5 star rating.
16	Bad!!! When i want take a picture, the picture from my camera phone is not shown, just blank.. plis fix it. My phone is samsung galaxy young s5360
21	Won't launch on my Galaxy S4 All I get is a black screen.
23	Problem while activating Iv been using viber since a long tym nd it has never dissapointed me but I just deactivated my account for a day nd den I try to activate...I dont get my code by txt nd neither do I get a call...im trying again n again please fix the problem
28	Can I go back to older version? Loved the app, was quick and always connected until the last update.  Have tried every suggestion.  When I first open it, nothing happens, it just sits at an empty screen.  Have to close and reopen several times and it is so slow to connect now.  Hope it improves.  To be fair, I am having same is with lastest tappatalk upgrade also.  Galaxy Note
30	LG Spirit many bugs sometimes it wont shoot a picture and i have to reopen app, orientation when I rotate phone works about 20% of the time, touch to focus is terrible, focus in general is terrible no matter what setting and other things as well. HD CAMERA PRO takes MUCH better pictures and its free. Quit adding so many features...who cares what frame i put on a blurry picture?
35	In game purchase not working Games shuts down when I first tried buying or when tying to restore the purchase. I will change my rating when you fix this.... I gave you my money, the last you can do is have a fully functioning app!!
37	Bummer :/ Seen a friend post a video on Facebook then I downloaded the ap.. all I can do is select photos and it won't let me continue after I have chosen which ones I'd like to use.. :( it keeps telling me there's an error
39	Lame Screen goes black when focusing. Lag. Long initialization. Please fix some.
42	SO DUMB. I paid for this game. Tried to download it and it won't let me...I also can't get a refund! FIX THIS!!
49	Okay that's it!! Everytime i download this app it says that it's finish downloading and then when i search i don't found it and when i open the playstore i open viber and it says that i want to download it again!!
53	Hey Whats wrong with this app... It does not allow me to.choose pic from gallery..
57	Battery hungry beyond belief if I had the application open, a full charge can be gone in 4 to five hour, while normally lasts 16... have to keep it open just when needed.
61	Doesn't start up The app gets to the loading screen and then force closes, please fix. Running Android 4.4.2 kit kat on a nexus 7 2013. I'm assuming it force closes as I'm using ART runtime. Please update to work with ART! :-)
64	Hmmm Messages I receive on my app don't show on the laptop version of Skype and vice versa.
68	Was working... Now it corrupts every docx file I save.  This has cost me hours of work.  I paid for this?  Editors Choice, really?  I cannot recommend this program in its current state.  Nexus 10, 4.4
70	Popularity from Herd Behavior Millions of users can be wrong. This app and application has a poor interface,  allows all sorts of strangers to harass you,  is not intuitive.  The messaging only works sometimes, no indication of it has been read or not.  It is a bandwidth hog. Corporations hate it on their networks. Oh and I still have out installed. Part of the herd....  :(
73	Loved it until... The most recent update has left me less than pleased. Double posting pics, messing up the way cover photos look, it's NOT better in fact it's worse. I use to give it 4 stars now it barely gets 2. Please fix before I lose more fans.
