id	comment	Positive	Negative
784	I actually believe this app is totally awesome in helping me prepare for my boards. However, just as the muscle name is given in audio; I wish there was an option hearing all the muscles info in audio. For me, retaining info comes better in audio, activities, and constant quizzing.	4	-1
1739	This app is great for the novice traveler I just started a new position within my company that requires me to travel and I always refer to Trip Advisor for ratings on hotels and good places to get a hot meal  I STRONGLY recommend this app!	3	-2
1090	It's the best	2	-1
2223	I love this app! I use pinterest as my virtual closet XoxO	3	-1
1068	AWSOME cool	2	-1
1143	When you need a location this is a simple and good.	2	-1
2065	Ok	1	-1
2197	Amazing IloveIttttt	3	-1
2709	Superb Excellent app to boost our creativity	4	-1
573	Easy to find songs and purchase in iTunes.	1	-1
322	Great app for photo collection	3	-1
545	Awesome! I like this game but I hate having to unlock some things with real money, but everything else is great.	3	-4
2632	Cool Cool	2	-1
374	Good Best	2	-1
709	I don't need to bring big gadgets in the field. It works great, it has saved me so many times. Just click and send email or fax.	3	-1
475	Love it!!!!!! Works great!  Have it on my nook and my PC!	3	-1
320	Nice Gameplay takes head to head with desktop/gaming devices version	2	-1
1304	For some reason when you ask someone about this app they will not tell you well I found it	1	-1
837	Dis game Is amazing its 3D affect just adds da thrill of u being in da game!!!! (:	4	-1
2433	Really good Glad downloaded	3	-1
2190	Perfect! !! Absolutely my favorite app!	2	-1
2544	Good Best	2	-1
821	Great app! Amazing features! Perfect for movie collectors. I love it!	3	-1
908	Easy to use	1	-1
447	Great I luv It	3	-1
258	Andrew Excellent scanning app.	4	-1
798	I was shocked to find the app includes overhead clearances and one can filter that down to what they are worried about.  Looks to be very thorough.  I have not yet tried it on the road but I am amazed at what I can find by sitting her in my house.  I am a little concerned about how much functionality I will find in remote locations with no cell service.  Time will tell.  I may have to update my rating when that situation arises which will be in 4 weeks.  Happy camping everyone!	3	-4
1762	This App is like asking dozens of neighbors what they thought of a certain place they visited It's a must do on any trip planning	2	-1
2629	Grt app Love it	3	-1
1074	Love this site.  So much info at your fingertips.  Watched a video on a procedure prior to surgery and it was comforting.  Thanks!	3	-1
2513	I like it This app is so amazing	3	-1
1668	Trip advisor is full of the best trip app available If you're traveling without it, you are not traveling right Grab this app and enjoy ann the hidden gems each city has to offer	3	-2
841	Cooooool app ??????	3	-1
79	Good Slowed	2	-1
871	I got my questions answered within 5 minutes of asking!  Great job Mobil Innovations!	3	-1
1915	Good app Is a good app to text on	2	-1
2079	Abu Awesome app	3	-1
1416	I may give it a way better review when they fix it but EXPECT it to crash ll the time...about every 3-4 filters I downloaded & it then crashed. Frustrating. Once it FROZE and I had to delete & re-install. :-(	1	-3
1609	this one is great!	3	-1
1615	Great for taking personal notes	3	-1
27	summer ok	1	-1
1126	that's all amazing awesome... pretty cool... love it... ????	4	-1
502	I love this game The best game I've ever played	3	-1
1179	This is so amazing ...awesome ...it's everything to me!!!	3	-1
1558	?? ??	1	-1
358	"Not bad. For a mobile phone game this is pretty impressive.  It's nice to now be able to get my ""Pirate"" fix while on the road when I'm not able to play Black Flag at home."	3	-1
1167	LOVE IT.  From excursion with the kids to experiencing new eateries I've save a lot of money.  I try and take advantage of the huge savings on massages and good.  It's AWESOME!	3	-1
276	Lots of fun Wish the hair edit wasn't so vibrant. And the lower half of face doesn't get much change when brightening the face.	2	-1
2183	Very useful Enjoy using it	4	-1
1851	Great app I love it	3	-1
1355	Awesomesssss	4	-1
778	Helpful notations. Wish the illustrations were a bit more defined.	2	-1
1800	Jennifer and G were amazing!  Food was delicious!  Atmosphere Naplease! Service by Jennifer  delivered was helpful and great suggestions we enjoyed!  G, the manager checked on us and made sure everything was perfect with a genuine and sincere and kind manner!  Overall, 5 stars!  A definite remember!! Thanks to both for a lovely dining experience!	3	-1
1342	THIS APP IS A GREAT APP ????????? USE MY BONUS CODE: cherryx3  ???????????? please and thank you    cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3  cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3 cherryx3	3	-1
2233	Really fun A few small glitches when loading some pins but other than that no problems HTC 4G android    Update I'm using a Samsung galaxy S4 now and pinterest is still great  I wish I could make more adjustments from my phone , but I still have to use the regular laptop to change pin cover photos and to  rearrange boards	3	-2
2225	Love it! I use this app constantly	3	-1
2246	Pinerest app I hope this works	3	-1
808	This is the best app ever it make hilarious videos the fist one a made I posted on facebook and everybody loved it.  It's super easy to easy to use and is the funniest thing ever!!!!!!!!!  Get it now!!	4	-2
1696	The fact that you get all the info you need for your trip is the most important thing when traveling	1	-1
1695	Trip Advisor is a must when traveling if you want the best The best value, hotel, tour, restaurant or just to know about an area	2	-1
699	Recently used in several European cities and it was GREAT!	3	-1
1630	Thanks	2	-1
1891	Excellent Its a wonderful app	4	-1
1652	Great app	3	-1
2361	Love!	3	-1
621	A must buy.	1	-1
509	Awesome I love this app	3	-1
327	Very good app (: But some of the photos come out too pixilated :/	3	-2
61	Still work to do please change it......... Not impressed needs a lot of work ........	2	-2
2474	Exellent Nice t use and its very easy	2	-1
1361	Serves purpose so far.	1	-1
1018	I've used this app for three seasons! This is the first year that NFL owns it. I've drafted 8 teams over those years with this app! Very user friendly.	2	-1
2461	Cool This app Is good running my iPhone	2	-1
415	Epic	1	-1
2508	PicsArt This is my favorite editing app! And it's free! Runs super smooth on my Galaxy III Keep up the great work! Now using on my Nexus 5, still awesome! ?	3	-1
140	Nice but limited use Limited options stickers etc are available	2	-1
414	Amazing Working perfect- Samsung Galaxy S4.	3	-1
1750	Love traveling!!	3	-1
1766	Great and resourceful app - plus fun to plan ahead or dream a little	3	-1
2186	Yay Love it	3	-1
1388	I love variety of monster to fight,and love the effect of the parking falling down using as a ramp! Good Game!!	3	-3
2298	Amazing Love it	4	-1
1504	It's useful and helpful All my files and especially my photos are being synced FAST to my laptop This is the app that I've been looking for It's very convenient also to use	2	-1
2501	I love where are the colors of the textfonts? they disappeared	3	-1
1281	Absolutely handy for those pics you don't need everyone else to see.	1	-1
2047	Good but Good concept But wish it didn't steal all of your data	2	-3
594	Better than any other wine app.	1	-1
1673	Wonderful for exploring new places and your own backyard	3	-1
110	Money ripping I have played this game on pc and realised it was released for android platform. As soon as i downloaded it (and payed for it), it is ridiculous that they are still charging so much money for other mini games available in the game. Really disappointed with this. Please resolve this issue n i'll give this game a 5 star.	2	-3
1213	The first and best app for parking rates at any place. What a life saver. The most useful app.	2	-1
631	Great for daily readings. I love it.	3	-1
1212	Must have!!	2	-1
1655	Good	2	-1
2656	Not gud app!!!!	2	-1
1282	Great app especially for fantasy news. One of the great sources i use to get info first. Only thing is freezes for a min when you are scrolling on a article.	3	-2
943	Love	3	-1
1693	Very good app	3	-1
62	Get it working! This game hasn't worked on my phone for months now.	1	-1
1112	I love this app! No more waiting for checks in the mail. I can take credit cards immediately. Good pricing too	3	-1
398	Nice V gud	2	-1
2609	Very awesome and excellent I love the features of this app I can edit pictures in a high quality Keep up the good work	4	-1
1809	Can't do wo it	1	-1
1501	iOS	1	-1
2559	Awesome Simply superb  good wok	3	-1
1816	Good One Superb way to communicate with friends	2	-1
1291	Very beneficial app, enjoy looking and seeing what's available.	3	-1
2729	I Love It Awesome - _ -	3	-1
2500	Excellent App Excellent App you dont need anything else	4	-1
1686	I use this all the time	1	-1
1530	Feels more fluid, controls are intuitive and exactly where I expect them to be Design meshes perfectly with iOS 7    Great job on this update )	3	-1
1057	Love it	3	-1
2237	I'm addicted to this app! Love it! Getting this app is my best decision ever! It's great!	3	-2
723	Best app in the entire world	2	-1
1779	The title says it all  I used it as guide for the last trip we took and it was right on time   Very reliable and provided us with much needed information  Need more information on golf courseswill use it on every trip we take	1	-1
2156	Great I love pinterest, and the mobile app is great I almost never have issues with pinterest	3	-1
2727	Wow It's cool apps	3	-1
2553	love It I Love This App	3	-1
2703	Amazing Tnx for creating this app  (	3	-1
600	I love this app using it for a long time a year works great but started to show wrong stars even after I adjust them with moon it happen after your new update please fix it	3	-2
2458	Picsart An awesome and Helpful photo editor ?	3	-1
480	Just said Huhuhuhu	1	-1
2349	Love it it keeps me busy	3	-1
857	Very helpful in planning my day. Gives hour by hour estimated weather that is just as accurate as any other weather report. Love the graphics behind all of the information. It mostly follows the weather that is expected for the hour which adds a lot of visual interest.	3	-1
2502	Cool I like it Just a bit slow	2	-1
2184	Inspiring! Collecting your favorite things is fun to do as well as trying to express your likes and interests to others	3	-1
1150	Would totally give 5 stars if u didn't have to use the app by itself & send from there! Would be nice to be able to choose app from inside text message or email! Can u work on that?	2	-1
749	This is a great educational app for students, especially the movies! It provides a great visual for abstract content.	3	-1
588	Ran side by side with other and this app beat all hands down. Needs dedicated space for mileage.	1	-1
1427	Just finished the demo and it was great, powerful	3	-1
578	Very nice app	3	-1
827	The word and we listen to the word of the day and see if we know the meaning or something very close to it. We find it to be an entertaining 'game'.  Sorry!!!  The first part of my review is in the title segment. Bummer. But...CHEERS!!!!! 5 STARS THE BEST RATING 10 stars---no, 11  Bbwwahahahahaha	2	-3
2716	Best art game I love art and craft very much	3	-1
1141	Very good!	3	-1
1610	It's ok because it sometimes it just closes on me  But overall it is great	3	-1
1209	Awesome, I give this app a 10, I use this flashlight all the time, It has helped me even during the day, trying to find things in the darkest places100%totally wonderful	3	-1
763	I've bee using EveryTrail.com for years - loving its ease and look for uploading my rides and embedding the maps on my blog. I used the free app for a long time, until recently on a trip I needed to find a trail and download it to use offline. Enter EveryTrail Pro. This app has practically replaced my GPS unit. I adjust the GPS settings to extend battery life and I can go on epic rides and still have power to text my buddies photos from the trail. I highly recommend it for on the fly trail mapping needs. Worth every penny.	4	-1
1643	A must have for vacation and business traveling!	1	-1
1653	Never disappointed me Always have some better opinion on hotels and restaurants	2	-1
2024	Tony SGN3 No password if have sure five star	1	-1
1450	Cant think of any specific complaints, but there is always room for a more robust interface	1	-2
570	This game is really fun and a great way to learn facts, geography, capitals, landmarks and locations of all of the great states in the United States! My nephews are into strategically placing the stacks. Super learning fun!	3	-1
918	This is a great app. I've used ODB on my iPod Touch and then my iPhone before I got an iPad 2. Each version is more refined. I like the way that the app remembers my choice of Bible version (currently 'The Message') when I tap on the Scripture for the day. This isn't the case with the iPhone app. One always has to change the version from the default.  There are a couple formatting issue suggestions:  1. The poem at the bottom of the page is almost never formatted like the online website. It would be nice if the lines were stacked and not simply strung out in a row. 2. One of the things I've always enjoyed are the cover photos. The cover for the current month shows in the upper righthand corner, but there is no way to enlarge it. One would think that a simple double-tap could bring up the cover art full screen? 3. When traveling I don't always have a wifi link, so having issues cached is nice. In those instances I simply use my Bible app (or print version) to get the Scripture for the day. I don't expect (or want) ODB to cache the Scripture from Biblegateway.com on my device, but it would be nice if there was a way in the app set-up to direct the ODB app to my Olivetree app onboard for the Scripture of the day. May be too difficult for what is already an elegant app.  Keep up the good work!	3	-2
471	The best You know it	2	-1
961	I love laying in bed at night an watching the stars! Almost as cool as the real thing living in the city :)	3	-1
386	Cool	2	-1
759	Simple to use. Works flawlessly.  Loads of books to choose from.  I'm a fan.	2	-1
1094	Amazed at the variety of drinks. Just wish there were more brand-centric drinks as well.	3	-1
1458	Dropbox is ok But MediaFires 10GB is much better than 2GB	1	-1
1954	Good I love so much	3	-1
1324	The is a great app for someone on the go that needs to know what is going on w/ the delays. This app has helped me be in time to a few interviews.	3	-1
1692	Good	2	-1
940	this app is great i dont have to get on my computer download the music then pass them itunes then transfer it to my ipod but i would love it if we had an option if moving the MUSIC to our music libary, when i have that option iLL give this a thumbs up five stars	3	-2
1104	Travel all d Eastern us and use this frequently to stay abreast of weather conditions	1	-1
1151	First of all, both Dragon Dictation and Dragon Search are amazing and I'm using the slow 3G. They're beyond amazing on my wife's iPhone 4! As a heavy user of Dragon Dictation, it would be very useful to be able to clear the screen and start new, perhaps by shaking the iPhone. Sometimes it's easier to start over rather than edit out one word.	3	-2
897	I have Day One on both my iOS devices, and my Mac. It just works beautifully, seamlessly, and smoothly.  Add simple photo function, and you'll rule the journal app world.   Five star!	3	-1
634	What a bargain for all the benefits I receive daily from this app!!  The audio is especially good to have.  Reading (or listening) to the daily Mass readings has been a great help to me.  I also like having the prayers for the start and end my day.  I consider this to be a must-have app for all busy Catholics.	3	-1
960	One of my favorite apps!	2	-1
2460	Out of words Excellent app out of words just got to say sira ee laata	4	-1
124	facebook	1	-1
1758	Works fine	3	-1
1249	Great weather, eazy to understand.	3	-1
981	Best shoe app ever!!!!!!!!!!!!!!!!!!!!!!  Correct dates and prices! Let's me know every thing about the shoe!??	2	-1
1222	I find this app very useful. It has mechanism and class info that most of the other free programs are missing. You can't do much better (esp for free)!	3	-1
153	Good Very Good	3	-1
1698	This is a great application with accurate information and advise It helped us during our west of the island vacation	3	-1
203	Shark ? dull	1	-2
2209	Addicted at times Love it!	3	-2
964	This is a very useful tool when posting animal that I have up for adoption!	3	-1
1965	Whats app Very nice	3	-1
1394	Fun	2	-1
456	Amazing	3	-1
1328	i never write reviews but i just had to for Songza. Great app, really great concept.	4	-1
2063	Best app to share thoughts, ideas and different things and feelings Excellent way that connects to our family, friends, relatives and strangers too ))))	4	-1
1526	Evernote is awesome That's all	3	-1
850	This app is a great tool to have for just about all types of foodies.	3	-1
20	This game sucks	1	-2
1149	cool app! i like it!!!	2	-1
416	Yeh..... Nice app 4 me. ..	2	-1
1727	Great for vacations and tours  Love the app )	3	-1
675	great app!	3	-1
592	This ap is great, really puts your collection at your fingertips! I really like how easy it is to manage your wine collection, buying, drinking or storage notes. Love it!	3	-1
2713	Samsung galaxy note3 It's the best pic editor forAndroid	2	-1
655	This app is far better than the usual web interface - intuitive, fast, and great graphics.	3	-1
1848	Perfect A perfect messenger	2	-1
844	Outstanding!  You will enjoy listening to podcats on this app!	3	-1
2143	Love the app Very easy to use no problems!!	3	-3
987	Love it. Keeps me occupied while i have d time to wait	3	-1
1744	Road trip Use it every step of the way!!!!	2	-1
1300	Definetley he best editing app.?????	2	-1
2439	Nice I love this aap	3	-1
2674	Best app -*	2	-1
688	Great!!!	4	-1
2486	A Awesome	3	-1
204	Okay This game is great. Can't what for the new one	3	-1
1721	This is what's needed so I don't waste my time and money going to places that have lousy food, &amp awful customer service	2	-4
1302	This is a great app for a family on a bujet	3	-1
1363	Great app for any bears fan! Bear down!	3	-1
1659	Love this app Always find where to go when you travel With many people on it, it's great to find local places to eat &amp visit while you are away	3	-1
2039	Good This is a simply awe app! Needs no intro Must try )	2	-1
2398	Addicted ! Simply can't stop browsing through before I wind my day !	1	-2
2177	What an amazing app So many ideas, and inspirations, love it )	4	-1
671	I love it	3	-1
37	Good Good	2	-1
528	finally found  the apps that i want!	1	-1
1508	I like to be organized and be able to customize things as well and with this app I think it does pretty good with both I would recommend it! )	3	-1
2269	Stacey Thanks you are awesome	3	-1
2214	Perfect I love pinterest  Pinterest helped me plan for my wedding!	3	-1
1861	Super Awesome	4	-1
2036	Awesome app	3	-1
1	No help function. Wtf?? No idea how it works.  Just kept blowing myself up.	1	-3
4	Paid app  and still needs to pay more? Really?	1	-1
5	good game but... I paid for it and not only do you now charge for all the extras, but you serve me ads too!	2	-2
6	Its so slow Its so slow man.	1	-1
7	Sequel only on ios? So the developer released the ios sequel before android when there are far more android users, are you stupid?	1	-2
10	Very bad	1	-3
13	Waste of money Not downloading	1	-2
14	My gallery app does better than this Trash	1	-2
15	Pathetic	1	-3
16	Galaxy Note2 This paid app Sucks there is NO PM option like on the free app	2	-2
19	High hopes shot down... Been looking for an open office port for Android for quite a while and thought I hit the jackpot with this one unfortunately way too clunky and no way up to optimized for tablets will keep looking	2	-2
21	Gettin stuck most of the times I also wasted my 3 quid I think its shame on the N.F.S game designers deciving people like this.. we dont expect these from them.	2	-3
23	Pile of sh!t worst app ever!	1	-3
24	Good but wth Its a good camera and everything but it used 1.00gb of my data last month. What the heck is that? What is this sending out?	2	-1
25	Lame Just stick to Auto Awesome on Google .	3	-3
26	Not gooood at all  _  I don't like at all u can download only one pic & i want to download albums or videos tooo that's sucks  _   _ 	1	-3
29	Worst app, dont install it,its full of spam	1	-3
31	No more Chathead Popups? Gees that's the only reason why I installed this app and now it's gone :  bye messeger :(  I don't like the Facebook app either, just another app that eats ram... --&gt;Browsers, all in one	1	-2
32	Seriously needed permissions?? I think not!! Why in the world would I give anyone or application the right to make phone calls through my phone, edit my text messages and send them, take video and pictures?? This is sadly getting worse with each update and this is supposed to be a security program??? I was pleased at first with this app but have no respect for it or the idiots coming up with these updates. This needs to stop!!! Next you will need to access my credit report. Here's an idea, DELETED!!!!!!	3	-3
33	Terrible	1	-4
34	Upside down HTC one. Yes upside down	1	-1
38	Fix it What has happen to the weekly levels	1	-1
39	Rubbish	1	-3
40	Awsis Very nice app	3	-1
41	I	1	-1
43	I have already paid I paid for the game now they want more money for the whole experience.	1	-1
44	Hk 7.7 only So cheap!!!!	1	-3
45	Burn in hell EA! Everything you touch turns to offal. You are the epitome of human greed.	1	-3
47	Lousy This print tool is not worth your money!:-(	1	-3
49	Not free	1	-1
51	Bad I got this and it willnot install on my cell and now if willnot refund me very uncool ...	1	-2
53	Nice	2	-1
54	Poor in comparison with Yahoo! and Outlook Poor	1	-2
55	Too lag Too many ads..make my hp lag	1	-1
56	Doesnt work Teamspeaks preloaded channel works, but app crashes upon connecting to any other server. Too bad, could've been useful.	2	-2
58	Poor Don't care for it	1	-2
64	Discrasefull They make us uninstall just to charge us 1.99 when you can download or free I would of never used it again but my online job is through teamspeak and I'm always on the move ducking bankers honestly	1	-2
66	imran is good	2	-1
67	Online mode is awful Dont buy if you expect to play others online. Servers are abysmal and its getting to the point of pointlessness in trying to get a game going.	1	-4
68	Need help How do I connect to my game server, Thank You but only 2 stars till I get an answer :-D	2	-1
69	dnt dwnload it has very few editing tools  but the black white effect are so many types it is really impressive	3	-1
70	J /	1	-1
72	In between	1	-1
74	Blahh	1	-2
76	I lov Mmmm	2	-1
77	Nice	2	-1
78	Nice Call you me	2	-1
