id	processed_text
734916	Yay the duolingo bird didn't kill me!
560867	to many advertisement but i like the music but not the comercul.
1091586	this game is boring to the beginning to the end
609260	great. love it
916998	if you are trying to fix your credit. this is the way you could it instead of paying a company to do it for yourself.
375302	i give it 5 stars  ..because this app deserve it
991691	This is the best app ever. It was about time an app was created just for this reason. It cuts out the phone time and the remembering the password and having to look for your card everytime you need the balance or some kind of information that you can now refer to on this app. As long as you don't need to speak to anyone, all your info is on your phone. Thank you to whoever FINALLY thought of this. WAY OVER DUE!!!!
835757	Its amazing you get to make your own questions it's like making your own YouTube video
300202	nice game and intresting
766899	The app won't even open.
17138	Very deceptive, not free at all. Please be honest and move to the section for apps that need to be paid for
664316	This is a really good app despite that most songs are short.Other than that its performance its fine
1003794	this game is trash im blocking it on this ipad
559099	my favorite music stations
88301	accurate and awesome
392222	to many ads freezes your phone i wouldnt recommend
131968	Even big players like Netflix or Spotify don't call monthly prices that high. And they offer muuuch more content. That's simply impudent!
126538	I had my fist session, Perfectly the best i suggest it to anybody
14825	"I love this app! The guidance's amazing and just hits the spot. I've downloaded it to learn how to manage anxiety, but I've found so much more! I'm meditating several times a day now, and don't even have to push myself towards it, because it's a pleasure. I only wish I could save whole collections into favourites, and also it'd be great if in every collection it'd show which tracks I've already listened to, like in ""7 days of ..."", save for those with one topic but different durations."
561179	it is realy good and i like the way it gose by the music you choose in the order you got them
699589	I like that I can talk to the teacher and she responds pretty quickly. It's like texting with a quick response.
498931	We ALL KNOW Most Apps Suck... BUT (!!!) Not This One !!! I Love the Convenience, I can Use my Phone ( app) to work the Roku Device and Look up Stuff on All my Channels. + Cast All my music, Videos Pictures and Personal Vids. off my phone To My T.V.!!! Love It !!
540740	Change isn't necessarily a good thing. Unfortunately red was simply and easier.
662204	it has all my favorite songs.
733398	love this! better than a mindless game.
1113703	I really love this app. I play it every day. But over time I noticed that it uses a lot of battery. Please fix that somehow? Also, please consider that not everyone lives in the northern hemisphere!
908922	Love it
54420	I love it but it needs more in food variety I can't find a lot of the food that I eat. home made and restaurants around me. I have to search online then add it to my app.
852281	They don't allow you to use a google voice number.
580794	LOVE IT
920562	very useful, gave detailed information on credit score and also recommended cards that had favorable odds of getting. was able to open my first card after years and improve my credit even more!!!
546735	Was a fantastic platform but new update renders it virtually unusable
1106284	This is a really good time waster.
954199	worst payment app ever good luck trying to verify your account
289566	they need to fix the tanks shots
249135	I think this is the most useless game ever because it will take a lot of GB and it's suck.
727631	Exceptional learning experience!
902234	app does not update unusable as it is installed.
1018108	it was so cool
809141	Lots and lots of fun. Yay.
544887	i love it.i can be aware of new music by checking into it and other news too!!
415905	thanks for the update
335389	I love the fact that my child and I can locate each other.
684424	This app makes staying in touch with my daughters teachers so easy.
462264	I Love that most of the horror movies I grew up in are here!! Also the Super Sentai series!!
1000089	i want to be able to have access to my mail and i cant this app suck
971323	I love the new design.
1083881	i like the graphics and how you get to unlock things
137900	best app but it shows too much adds
735414	I knew some French but needed help and I find Duolingo very helpful and it teaches methodically not rushing you. Highly recommended. Thank you Duo!
319177	Very beautiful app, excellent and good for all the singles.
2036	Not free and not worth $60. I don't understand how this app is an editor's choice.
135783	Love this app Worth the subscription in my opinion
75401	it helped me to control my daily food intake
676338	Awesoommmmeee app i love but he can't fix word problems
615373	It's alright. My biggest issue would be how much they advertise for Unlimited. I already pay for Amazon Prime. That's already a lot of money a year, so for them to keep advertising to give them even more money is a pretty big slap to the face.
720999	I have really enjoyed using this app. I cant believe you can get this level of education for FREE!! THANKS DUOLINGO
674010	Great app that gives you great answers
799679	Wonderful app I use this everyday. My almost- 2yr- old loves this app!! All the videos are interesting, funny and educational.
1091098	its fun making the food and stuff but i dont like it when they throw up
401830	It is very.useful
1054150	last time today I want this games in this is like so cool but sometimes I'm really bad at that game.
823283	I am super happy with this app. I have a really hard time studying. I love as to how many different ways as to how you can study. One thing I dont really love about it is that you have to pay for it to get the better stuff. Other than that I will keep using as a free member for now.
121507	It helps me focus and also if needed helps me sleep. Very calming
193146	this game is awesome!!!
67338	Effective and awsum app to stay in shape..
992875	very helpful and easy to go to for your transactions that you have made
330470	this app is so fun cause you can see were people are
91054	easy to use
786732	it's good because I could find my peeps on Tik tok
688705	I love this app! It is great for parents and kids! Every teacher needs this!
705198	I am able to learn Spanish, although they offer many other languages, at my own pace. I am able to learn reading, speaking, and writing Spanish. the methods used seem to be sticking a lot more than those they had in high school. I'm extremely happy with it. There is the free version, which has ads. Or for a monthly fee you can go ad-free and also be able to use the lessons offline I believe. I am using the free version and I'm happy with it.
773372	I tried to sign up for the app but when putting my billing information it would not let me enter letters for my postal code only gives me the option for numbers. So disappointed.
770961	This app dont want me to get in
1395	awesome app instead of searching you tube for sounds or something to help me sleep this app really does have it all, thank you it's actually made my life better especially of you follow the meditation sessions
795254	it is good for little kids and i am glad it is
989110	it informs you so you don't need a receipt
1038059	I keep thinking it's the adult youtube
465688	very good movies in my opinion
425384	nice job Felicias proud of ya
892180	great app best way to send and transfer money at zero to no cost
1061400	i love it her face reactions
266295	I think that this game is a great time killer when I have nothing to do.
945142	Sometimes this app is unreliable. Its starting to be a 50/50 chance it works. In the last week, I've had to un-install and re-install this app more than usual causing me inconvenience and frustration.
27458	"It seemed like a good deal when I got it, but most of the offers are unreasonable. You only get $1 for 1,000 steps, and most stuff that are ""free"" are either way too expensive or something you would never use"
488457	good very good had a great experience
347660	cannot cast screen to chromecast. useless app, chromecast pointless now
442054	Hulu is amazing. I can't believe I wasted so much money on cable for so long!
626154	it so fun i love the music
772345	5his help my kid to learn
711363	great app to learn other languages.
931436	fingerprint option doesnt work anymore
678231	Thank you for creating an app like this!!
368867	cause u have to pay for this app
958762	Sucks wouldn't allow me to add my bank info
368510	I hate that you have to pay a subscription to be able to do must of the things in this app. When I saw the ad it showed me things that you have to pay to use, and that's not ok.
295777	not to bad of a game
765697	Too expensive. $60 per year
522216	India is a country with immense linguistic diversity. Most of us doesn't understand more than two or three languages. Amazon prime video app is not considering the fact and tries to push all videos in all languages to subscriber's stream. It's kind of annoying because some preferred videos missing in the mess. Amazon should learn from Hotstar which allows user to select their preferred language(s).
832004	It is still good I play this at school
388739	I enjoy this app. It has a lot of informative ads. I have seen a lot of products I might not have seen otherwise. Thank you
135165	All the meditation segments are the same
50299	Simply a fantastic App.
218704	its so fun
458042	Good movies. Need less commercials.
668693	Easy to use.
787757	Good App for school
263382	INAPROPRIATE BECAUSE SOME KICK THE BUDDY MWTHOD ELECTRIC CHAIR REAL EXICUTE METHOD IN THE WORLD THIS GAME FALG INAPROPRIATE
172847	It doesn't work. Sorry.
238554	I Love you
953192	I have this app for like a while now and trying to open an account. Everytime i try there's an error. And now i tried again. Still bad. Stuck at the verification for 2 days now. Use Venmo, much better.
326090	this is so easy to know were the person is
452132	cannot get through on phone says no. is invalid but I called it this morning and spoke to agent about changing my bill payment date.
457572	terrible to many ads and you cant even skip them.
1065522	THis GAME IS REALLY AMAZING
625127	Why I try to make good music when I recorded it then it felt better
957813	Want's too much personal information.  Missed the documentation about it being purely person-to-person and they would not accept our social club's businesscard debit card.  Pain in the 6th-point-of-contact to get in touch with their tech support to verify why it would not accept the card, then delete my account.  Once I figured out how to get a human being, was able to inactivate the account, and hopefully it gets deleted as they said in 24 hours
86390	Love this ap use it along with my Ww and intermittent fasting.
923284	Its easy to use.
505612	better than expected
979704	Keep it simple. The old bill pay was superior. Erica is not needed. I use the app for banking, not to be entertained. I want quick access to my data, do simple transactions and that's it. Please don't add dancing cows next update.
639590	This app is doing well. What I like you to implement is the possibility of casting through Chromecast, and set a timer.
1083938	Really fun and a great way to meet new people
794352	Its a master piece my son loves it his favorite is Daniel tiger neighborhood
553574	"can someone help? i am only able to download an entire podcast if i press the little download button on every single episode. i looked up the question on google and found: ""To save an artist's entire discography you would have to click the ""+"" next to every song to save it to your ""songs"" section which also will save it under Avicii in the artists section. Or you can add every song to a playlist."" this seems really unreasonable, especially considering i signed up for the paid plan."
374819	thank you
297049	it sucks ur guy looks stupid and it sucks so bad they couldnt get more than 4 people in my game.
470506	great selection of everything
750324	I hate it because every time the teachers always snitch. On you
16901	you have to pay for everything not worth the money free app and not free to use
56641	"Upgraded to latest version 6.2.0.075 & now have several bugs in phone software. Health app data is useless. Samsung Health customer service says they are aware of issues but have no downloadable fix. Syncing phone does not resolve. Now must go to physical store for refresh, which ""might or might not"" cost me money?! >:-("
154692	Says its free but then on the third day u have to buy in order to keep   tracking your food. EDIT: I ended up paying for the app because it's BY FAR   THE BEST TRACKER OUT THERE. It stinks I had to spend 40 bucks (and also   don't have the option of paying monthly) but it's the best product on the   market so I guess it's worth it.
1058259	I think this game is pretty cool.
466274	Free and good quality!
162347	Using the free version. Easy logging. Good visual aids especially a weekly graphic of calories. Excellent app.
726332	I took a beginning Spanish class at the local community college and ended up dropping it. Beginners Spanish was not really for beginners. This app is perfect for anyone from beginner to someone brushing up on their skills. I love that it lets me work at my pace, snail, and doesn't make me feel like a failure.
488297	This is gud
209982	I like I because it looks,cool
934074	does not work with android Q beta. pls fix
1064950	Awesome But There are Rake, Rule, Spawncode,Kelly And i heard its 2 more! Its really creepy please do a anti hack thing
584953	I opened the app and it kept telling me to update chrome but when i would, chrome was already up to date and I couldnt open the app. please try to fix this!!!!
838063	It said I was incorrect but there are no wrong answers
324011	great way to keep families safe
1070370	I love the graphics, game play and everything else! I just wish it's wasn't so hard to change animal. Can you also please add more animals to be? Maybe a zebra? An African update! OooooooOoooOoooOooooOoooOooOoOOOooooo that would be so cool! Also, I got a bunch of cool accessories on my account but then my phone broke and i was locked out of my account. Its been a while now, I can't even remember my username
662547	the best in all music
170346	very fast and easily accessible
340552	This app has lot of issue, pain in ass to use it
435756	Not accepting indian debit cards
99531	issues connecting to device
572777	THE BEST APP EVER MADE!! 5/5
956132	DO NOT USE THIS IS A SCAM!!!! AND YOU WILL HAVE ABSOLUTELY NO REPERCUSSIONS FOR GETTING YOUR MONEY BACK!!!!! DO NOT USE!!!
600860	great app. haven't had any problems and 6 people for 15 bucks a month offs awesome.
665498	thanks for the application
201983	Is a great game but im having an issue where i am playing 5 match sets not a 2 minute game, needs attention.
236342	its no wifi and its easy
473065	good except for the adds overall is a good free movie TV shows
905036	Love paypal! It's so convenient, and I feel safe sending/receiving money!
620062	it is the best for and download it guys make beats and be a star
39816	Worked for one day, then stopped counting steps
1117513	it is amazing I love pixel art: color by number it helps me become more creative when I have nothing to do!!!!!!
890297	I usually don't write reviews but for this app I had to make an exception. This app and the corresponding card make managing money today much simpler. The support from Square is excellent and personal payments mske splitting bills headache free. I love that I no longer have to carry cash.
1826	So far I have used the app nightly for a week. I have mild TBI and PTSD that I've suffered from an accident nearly four years ago and since then I suffer from chronic sleep deprivation. This app is helping me to fall asleep as well as helping me go back to sleep as I wake up throughout the night or when I have episodes of nightmares. So far I have only tried the soothing nature sound Audios.
462508	didnt like the ads that pop up through out the movie..otherwise perfect.
471315	great old movies, great scary movies, and great silly movies etc
208515	bad. the guy with the ball just went through me and they were always 10X as fast
746389	I love the app
200409	it is awesome I can't explain it
45174	no longer displays on lock screen hopping a negative review with force action to fix that problem, otherwise great product
150726	I get a threat when I scan for viruses APK:RepPo [Trj]
579798	low bandwith few commercials if u like ur list stil A+
454110	"Just watch TV? After every 30 minutes of content the app loses connectivity and have to ""retry."" to resume. Oh, and then the insidious commercials which start out short, then gradually lengthen, eating away at your soul. I signed up because it was a free perk of Spotify Premium service. If you hate being forcefed obnoxious, repeating, eye-wateringly stupid television ads, avoid downloading this BS app."
182624	my favorite and most useful app
938368	finger print doesn't work and to slow or pending is a few days off
363946	set up to switch my TV on after arriving home. it's not working so don't see any reason to invest more. money to other smart things
311780	Its ok I guess. To me works better then all the other dating apps
365236	the selection of smart home devices pale in comparison to Google Assistant. Please add Eufy and Geeni products to smart home functionality for 5 stars.
8176	I have used this app twice. both times I enjoyed it. I am now set up to use calm during my 15 min break.
601027	Its great love this!
285982	better than fortnite
749795	to tell how people behavior is
75065	great app for weiggt loss. seems to have q greater inventory of foods than other apps i have used.
977648	i love this app
406868	good app. they need to improve the way the notes are catagorized. it would be nice if you could create sub folders instead of just have all the notes on one page and have to sift through them.
887365	very useful convenient it saves time and gas it helps me to send to my children in other states
62242	these app is really good
504801	the app wont open on my Note 9 from tmobile. It is just a white screen with the logo. please fix
929978	I'll give them a 4 b/c they have 2 scores available for you to see and they're helpful and areas that you lack knowledge of.
480167	this is sooo bad it is dodo
20790	Was charged to my credit card before I thought it should. It's my fault but it still wrong. I thought it was a 14 day trial period.
584148	If you fixed the freezing on the skills, then I'll rate it 5 stars
887193	very convenient.. would have given 5 stars, if the app didn't experience overload times
1043015	aaaa stop bugging with rate me on store
941395	constantly locks me out and can not recognize my finget print but what choice do I have. fix your terrible app!
261697	is you down for two days I'm going to watch you up cuz it's the only time I'm going to shoot you on your head cuz he's dumb but look just like your what are you doing that since you don't think I'm going to try to
1044862	Love the game.
585648	Just got a new Echo. Can't even get through the setup. keeps kicking me out of the app when trying to connect WiFi.
987975	makes things much easier for you
457167	I pay for the no ads version plus live tv and I'm still constantly seeing ads on shows I watch through the app. Even when I trouble shoot the app I still get ads on shows. Not to mention that anything I watch doesn't appear on my watch list so everytime I want to finish a show I have to start over. Absolute garbage for $48 per month!
601279	Love it! Easy to find any genre, artist, album or song. Even snippets of songs usually brings up what I am looking for. I am completely satisfied with this app.
453716	why would you take of the Divergent Series....u shiuld have some type of warning saying that movies are leaving soon or something...that made me rly mad
105101	really helpful gadget that keeps my health on track.
98595	"""female"" tracking feels like afterthought the calendar to track menstruation is buggy. the drag and drop period calendar is hard to use. doesn't always drop where you put it. and the ""symptoms"" they list are too few. nausea? back pain? what if you want to add a note? or your own symptoms? nope. there are many better apps for this. also can you change the black background on the watch? I haven't figured out how to. my husband's samsung watch has tons of backgrounds. the app is almost useless."
881388	Can't even get the thing to download !! Breen trying to download for 3 days now !! Just keeps loading
357853	my TV not once first use of the apps. everytime i need to reinstall the app and again connect the tv. Not saved my tv as a old device. previous version has no problem. after updates its not stable! disappointed
977277	Easy to surf and find items
65686	great easy program, some exercises are tough, but has really helped me, and i do not exercise.
603592	great music, easy access, lots of choices!
284628	Luv I play every time I am in court
629	one sound for free version.. you have to give some more to make me buy the rest..waste of time
300798	Very good game Excellent shooting and excellent mission
688181	great and helpful app for school
1050468	I love this game so much
1039943	since youtube dont care enough to take these videos with the MoMo challenge lady down and find her amd prosecute her when she's telling kids to commit suicide as a challenge me and my wife and everyone we know are deleting the YouTube kids app and will no longer allow our kids to view youtube content of any kind. Youtubes owner has a suprise in store for them, I cant wait!
698764	said they will stop servicing verizon customers- works great for our class so hope they don't!
879781	"Strictly an app to help you ""locate your tax return!!! Easy and convenient"
138595	too much advertisment
1067067	i like it but there needs to be more land and time like fall and spring or like the big pine forests and rocky mountins
872632	Good app Installed to ck on my return, it was very accurate, return took 2 weeks. Was in my acct the day before irs app said it would. Now, loading again to ck on my boyfriends return. No problems, with crashing, freezing, or anything. Also, they update nightly, so checking multiple times in a day doesn't make a difference.
716012	The best app
1033538	yeah i love this i made new friends with this game
98370	Fitbit app is a great guide for me. Set goals that are achievable, in exercise and the food tracker helps.
93124	This app has been amazing for counting calories for me! It's really intuitive and easy to use. I love being able to scan barcodes and search for basically anything. It's really easy to create new entries and add my own recipes too. I like the goals it sets and I love that it calculates my projected weight in five weeks based on what I eat each day. I haven't had luck linking it to map my walk (probably user error), but I haven't really minded because they both work well on their own.
613702	"I pay for Amazon prime,& this app is supposed to be free,with my prime. well it's free, I can download music,but then it starts ""blocking"" various songs I have ,& require me to pay for the unlimited version in order to receive the music, so basically it only gives you the music for a short time,then deletes it if you dont upgrade! Not happy!!"
150006	Great app works for me
375376	Almost everything is locked.
321428	This app does not update locations as it should. Even when i refresh it. It's pretty frustrating trying to locate a family member in case of an emergency.
789900	It's it's good for a kid like me to watch this kind of stuff it's kid appropriate.
579320	soothing and good listening.
190375	IT KEEPS LAGING EVERY TIME I PLAY IT KICKS ME OUT
741830	I really think that teachers should use this
632897	App broken since last update, this update not fixed. Nokia
384060	This app creates glitches and errors at times of good wins n bouses never gonna win jack!!! always freezes right b4 ginna hit 20,000$ spin n cheats you. Keep losing my vip elite n vip statuses cuz every now n then it wont load for a week straight some times more, n I try offten daily... paper n mail was more reliable. I build sites and apps n this one has waaaaay too many issues for me.
89766	I still get notifications of people trying to log in to my other accounts (twitch, google etc.) because myfitnesspal (or under armour?) leaked the login data of 150 million user accounts.
428544	month charges are very high
197565	addictive and fun
669439	it is awesome and gave me the confidence I need for math
399259	its good for my needs
217208	it's fun but I didn't know the blue kills you but the rest is awesome
787633	This app is great for schoolwork to finish at home and helps keep up grades
401367	The most efficient , easy, organized way to create and access shopping lists , memos , and notes for everyday use!!!
101706	Very accurate on steps and distance for better calorie logging. For daily activity and sleep tracker it is better than my Garmin runners watch and vivosport. Garmin is better for tracking training info. Flex is slim for better daily wear comfort and love it is water proof.
435395	The app is amazing 5stars
739886	it the best
824453	It doesn't want to open
989869	i really like this app. very user friendly and uptodate!!
697803	Love this app! Very easy to get in contact with my children's teacher's! Even if it's a Last Minute thing that I need to tell them! I've personally Never had Any Issues out of Remind!
913642	good app, easy to use
757231	It is very educational
457964	not free......wants money in 30 days...not what I want
598217	My Alexa doesn't stay connected. It used to great but its a pain to set up every time I try to use it!
691002	I love this app keeps me update with everything at school with my kids.
942552	Good app overall, easy to navigate and has lots of useful info regarding your accounts. I would like to see them add a running tab of the balance next to the purchases and payments though.
710338	this app i great you need to get this app.its very helpful it tells you how to pronounce....its just a good app.
254997	so much fun. Releases my stress
1098984	umm I think that you could add more peole on and my complain is that you cant make a sandwich and a cake it would be cool if you could do that onto my complain it takes alot of stuf on your phone to download this app but the app isent even important my 3rd complain is it take a long time download this app
805254	Reason why was because no Thomas and friends plenty of people still like Thomas my little we be so sad now unless u change it now me and my family won't be viewers at anymore
1010460	I LOVE THIS GAME !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
1113454	"This app is absolitely awsome, you get to ""color in"" pictures pr take them and color them in this app is recpmended by me aspecialy if you love poctures and easy relaxing things."
245065	this is a awesome game everyone should play this
231457	I'ts cool and supper fun
1115478	this app was very laggy fun but laggy idk if others had this problem but i did
518827	picture and sound quality is good
1015318	Very fun, very challenging like a 3D puzzle although way to many adds.
70659	Great App. Love it
373428	you have to pay for it what app is that
886733	why the hell do we need a unique cashtag to set up an account??
569227	good alarm clock that's all its good for
897042	i got into another persins acaunt
860716	Makes paying friends easy
836308	I RECKAMEND this game it is fun it teaches you I like it
363032	Bluetooth dashboard disappeared!
638681	keeps skipping past all the songs. new phone and none of my purchased songs have stayed on my apple music
700216	Remind is easy to use and a great way to stay connected with parents in my preschool class!
477816	Just needs a little more movies to one of the best
661800	All kinds of music.
1017125	you have to try this app
849655	great easy fast
105769	well pleased.editorial content excelllant
594633	"Amazon tried to showe much down my throat. it used to be great now it's trying to be something more than it is. ni i don't want you to be my default ""assistant"". no I don't want a random remix of the song because you have some stupid contract. Just let me serch music well and control the echo and fire well and that's it. it's so bad now I am uninstalling. so there you wanted more of the share of market now you get none. this war for information is getting sad. AWS has everything already. stop it"
867405	AMAZING It followed my refund exactly! It came when it said it would. Definitely a great app. Thanks
877192	Awesome app It works great!!
308667	i see your logo throbbing at me.
841003	This game makes me wanna Ka-Shoot myself.
64308	same workuts can be found anywhere on google or youtube. Don't need to download, just do a bunch of jumping jacks and you have it.
133956	Great app but i dont like the fact that there is a 9.99$ yearly student subscription only for US students. The regular prices are kind of high. Of course I understand the importance of mindfulness in one's life but younger adults usually won't be able to afford this range of prices.
695851	I'm so glad this app exists. It makes communicating with our child's teacher so simple and fast.
579370	Music is a release, IRadio has whatever stress reducing , smile inducing, thought causing song for your exscape. Enjoy
1030473	This is so cool
1034378	The app is really nice. Is there any way to select language? I want my kid to watch only videos only in English
983226	Bank of America apps are always very user friendly. This latest version is the same. I use the mobile app all the time.
325976	work like a champ. i have 2 circles.
210946	0/5 stars. Gameplay is bad and after update. have to win 5 in a row to progress. Friendly AI doesnt do anything so if the enemy gets passed you, the player, you're done and you get set back one match of the five. Even when you get a boost the enemy is just barely fast enough to get to the endzone before you can tackle him. I feel like they made it harder so you lose more frequently so you have to watch more ads. Even though you have to watch an ad after every TD already anyways. Do not recommend
5849	No free app. Some free content very hard yo find. Deep medication app totally free and just as good.
428214	good for saving data of favorite games
341063	im just trying to get back to my icon pages
73830	easy to use and it works!
471932	I was watching a zombie movie titled Warm Bodies. I made it to you about the last 20 minutes in the movie disappeared. that was a huge bummer. now I never know what happened :-(
266359	Jfh de code this :so dirty I ever seen
370089	i have to pay for everything
98837	works well. sometimes when I open the app it shows a ridiculous number of steps (300,000+) if I sync then it shows the correct amount. oddly, the miles shown are correct.
202049	dghjj what is your address so I can send it to
1044108	Youtube is cool
870674	Very good resource, to ask question u need answered. It also is a very good app to help you track ur refund.
248493	it a very super game
1020142	It's amazing and really fun
111628	app itself is fine, but communication with the ionic watch is terrible, drops often and for the past week no notifications have gone to the ionic
1065704	great, its the game ive been looking for.
103264	Logged me out and wouldn't let me log back in. Very upsetting.
637080	it is not free
944978	not to good. too much updates
186591	it's awesome as man gotta give this a try for anybody who likes this kind of game
399337	Very easy to ise
19055	Its a wonderful App,you will feel as if you are attending the session personally and I feel great after every session.Thanks
205366	great and fun
373221	Its a scam it doesn't work the beauty scan just uses a generic face detection so you can't trick it the scores are random
696650	love how it enables communication between the teacher and the rest of my class
636806	Please bring share to instagram story as well
895125	I've written to CashApp support several times without a response. My account is closed due to a charge back I have no idea about. I attempted to contact them back to resolve the issue with no success. My wife canceled the charge backs and the amounts were debited again.
354541	Update was horrendous. Can no longer link my devices which was so easy before. I cant mirror my phone anymore through the app to my Amazon Fire Stick. So bad I've deleted the app it's of no use to me now after the uodate
332893	Works great for seeing where my family is. I get the peace of mind in knowing my children arrived safely to their destination.
